Matrix,Filler_Type,Filler_Group,Filler_Percent,Tensile_Strength,Impact_Strength
PLA,None,None,0,60,3.5
PLA,Rice_Husk,Natural_Fiber,10,52.5,3.8
PLA,Rice_Husk,Natural_Fiber,20,45.2,4.2
PLA,Rice_Husk,Natural_Fiber,30,38,4.5
PLA,Cassava,Starch_Based,10,48.6,3.6
PLA,Cassava,Starch_Based,20,42.1,3.9
PLA,Cassava,Starch_Based,30,35.5,4
PBS,None,None,0,40,6.5
PBS,Sugarcane,Natural_Fiber,10,36.2,7.2
PBS,Sugarcane,Natural_Fiber,20,32.5,7.8
PBS,Sugarcane,Natural_Fiber,30,28.1,8.1
PLA,Corn_Starch,Starch_Based,15,46.5,3.8
PBS,Bamboo_Fiber,Natural_Fiber,15,34.2,7.4
